Loading repository data...
Reading installed packages...
S  | Repository                             | Name                                       | Version                                      | Arch
---+----------------------------------------+--------------------------------------------+----------------------------------------------+-------
i  | openSUSE-Tumbleweed-Oss                | 7zip                                       | 23.01-1.1                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | aaa_base                                   | 84.87+git20230329.b39efbc-1.2                | x86_64
i  | openSUSE-Tumbleweed-Oss                | aaa_base-extras                            | 84.87+git20230329.b39efbc-1.2                | x86_64
i  | openSUSE-Tumbleweed-Oss                | abseil-cpp-devel                           | 20230125.3-2.1                               | x86_64
i  | openSUSE-Tumbleweed-Oss                | accountsservice                            | 23.13.9-3.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | accountsservice-lang                       | 23.13.9-3.1                                  | noarch
i  | openSUSE-Tumbleweed-Oss                | acl                                        | 2.3.1-2.9                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | acpica                                     | 20230331-1.1                                 | x86_64
i  | openSUSE-Tumbleweed-Oss                | adobe-sourcecodepro-fonts                  | 2.038-1.4                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | adobe-sourcesans3-fonts                    | 3.052-1.1                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | adobe-sourcesanspro-fonts                  | 2.045-2.7                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | adobe-sourceserifpro-fonts                 | 3.000-2.7                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | adwaita-icon-theme                         | 44.0-1.1                                     | noarch
i  | openSUSE-Tumbleweed-Oss                | adwaita-qt5                                | 1.4.2-3.3                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | adwaita-qt6                                | 1.4.2-3.3                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | aha                                        | 0.5.1-1.14                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-calendar-tools                     | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-contact                            | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-import-wizard                      | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-plugin-calendar                    | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-plugin-contacts                    | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-plugin-mime                        | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-search                             | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-server                             | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akonadi-server-sqlite                      | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | akregator                                  | 23.04.3-1.1                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | alsa                                       | 1.2.9-1.1                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | alsa-oss                                   | 1.1.8-5.3                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | alsa-oss-32bit                             | 1.1.8-5.3                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | alsa-plugins                               | 1.2.7.1-4.4                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | alsa-plugins-speexrate                     | 1.2.7.1-4.4                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | alsa-plugins-upmix                         | 1.2.7.1-4.4                                  | x86_64
i  | openSUSE-Tumbleweed-Oss                | alsa-ucm-conf                              | 1.2.9-1.1                                    | noarch
i  | openSUSE-Tumbleweed-Oss                | alsa-utils                                 | 1.2.9-1.2                                    | x86_64
i  | openSUSE-Tumbleweed-Oss                | alts                                       | 1.2+30.a5431e9-1.2                           | x86_64
i  | openSUSE-Tumbleweed-Oss                | ant                                        | 1.10.13-2.1                                  | noarch
i  | openSUSE-Tumbleweed-Oss                | ant-antlr                                  | 1.10.13-2.2                                  | noarch
i  | openSUSE-Tumbleweed-Oss                | ant-junit                                  | 1.10.13-2.1                                  | noarch
i  | openSUSE-Tumbleweed-Oss                | antlr                                      | 2.7.7-122.2                                  | x86_64
