Loading repository data...
Reading installed packages...
S  | Name                    | Version           | Repository                | Dependency
---+-------------------------+-------------------+---------------------------+-----------
i+ | 32bit                   | 20200505-62.1     | Main Repository (OSS)     | 
i+ | 32bit                   | 20200505-62.1     | openSUSE-20250206-0       | 
i+ | apparmor                | 20200505-62.1     | Main Repository (OSS)     | 
i+ | apparmor                | 20200505-62.1     | openSUSE-20250206-0       | 
i+ | base                    | 20200505-62.1     | Main Repository (OSS)     | 
i+ | base                    | 20200505-62.1     | openSUSE-20250206-0       | 
   | basic_desktop           | 20200505-62.1     | Main Repository (OSS)     | 
   | basic_desktop           | 20200505-62.1     | openSUSE-20250206-0       | 
i+ | books                   | 20201106-4.2      | Main Repository (OSS)     | 
i+ | books                   | 20201106-4.2      | openSUSE-20250206-0       | 
   | budgie                  | 20220527-2.5      | Main Repository (OSS)     | 
   | budgie                  | 20220527-2.5      | openSUSE-20250206-0       | 
   | budgie_applets          | 20220527-2.5      | Main Repository (OSS)     | 
   | budgie_applets          | 20220527-2.5      | openSUSE-20250206-0       | 
   | ceph_base               | 1.0-5.5           | Main Repository (OSS)     | 
   | ceph_base               | 1.0-5.5           | openSUSE-20250206-0       | 
   | cinnamon                | 202021205-2.11    | Main Repository (OSS)     | 
   | cinnamon                | 202021205-2.11    | openSUSE-20250206-0       | 
i+ | console                 | 20200505-62.1     | Main Repository (OSS)     | 
i+ | console                 | 20200505-62.1     | openSUSE-20250206-0       | 
   | container_runtime       | 5.1-7.1           | Main Repository (OSS)     | 
   | container_runtime       | 5.1-7.1           | openSUSE-20250206-0       | 
   | deepin                  | 15.4.20220603-2.7 | Main Repository (OSS)     | 
   | deepin                  | 15.4.20220603-2.7 | openSUSE-20250206-0       | 
i  | devel_basis             | 20170319-12.6     | Main Repository (OSS)     | 
i  | devel_basis             | 20170319-12.6     | openSUSE-20250206-0       | 
i+ | devel_C_C++             | 20170319-4.7      | Main Repository (OSS)     | 
i+ | devel_C_C++             | 20170319-4.7      | openSUSE-20250206-0       | 
   | devel_gnome             | 20241112-1.1      | Main Repository (OSS)     | 
   | devel_gnome             | 20241112-1.1      | openSUSE-20250206-0       | 
   | devel_java              | 20170319-5.17     | Main Repository (OSS)     | 
   | devel_java              | 20170319-5.17     | openSUSE-20250206-0       | 
   | devel_kde_frameworks    | 20240311-2.3      | Main Repository (OSS)     | 
   | devel_kde_frameworks    | 20240311-2.3      | openSUSE-20250206-0       | 
   | devel_kde_frameworks6   | 20240311-2.3      | Main Repository (OSS)     | 
   | devel_kde_frameworks6   | 20240311-2.3      | openSUSE-20250206-0       | 
i+ | devel_kernel            | 20170319-12.6     | Main Repository (OSS)     | 
i+ | devel_kernel            | 20170319-12.6     | openSUSE-20250206-0       | 
   | devel_mono              | 20170319-1.19     | Main Repository (OSS)     | 
   | devel_mono              | 20170319-1.19     | openSUSE-20250206-0       | 
   | devel_osc_build         | 20170319-3.22     | Main Repository (OSS)     | 
   | devel_osc_build         | 20170319-3.22     | openSUSE-20250206-0       | 
   | devel_perl              | 20170319-2.18     | Main Repository (OSS)     | 
   | devel_perl              | 20170319-2.18     | openSUSE-20250206-0       | 
   | devel_python3           | 20180125-4.13     | Main Repository (OSS)     | 
   | devel_python3           | 20180125-4.13     | openSUSE-20250206-0       | 
   | devel_qt5               | 20240311-2.3      | Main Repository (OSS)     | 
   | devel_qt5               | 20240311-2.3      | openSUSE-20250206-0       | 
   | devel_qt6               | 20240311-2.3      | Main Repository (OSS)     | 
   | devel_qt6               | 20240311-2.3      | openSUSE-20250206-0       | 
   | devel_rpm_build         | 20170319-12.6     | Main Repository (OSS)     | 
   | devel_rpm_build         | 20170319-12.6     | openSUSE-20250206-0       | 
   | devel_ruby              | 20170319-2.17     | Main Repository (OSS)     | 
   | devel_ruby              | 20170319-2.17     | openSUSE-20250206-0       | 
